epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,465.351,0.55773,0.66006,1.06281,0.95045,1,0.995,0.63208,1.41588,1.02708,2.17961,0.000505,0.000505,0.000505
52,473.781,0.60032,0.61647,1.20591,0.95045,1,0.995,0.63208,1.41588,1.02708,2.17961,0.000505002,0.000505002,0.000505002
53,481.692,0.63133,0.58114,1.08255,0.95045,1,0.995,0.63208,1.41588,1.02708,2.17961,0.000504608,0.000504608,0.000504608
54,490.297,0.57917,0.51817,1.11215,0.73782,1,0.9125,0.58198,1.35543,1.11915,1.98034,0.000503818,0.000503818,0.000503818
55,498.74,0.62108,0.58173,1.14679,0.73782,1,0.9125,0.58198,1.35543,1.11915,1.98034,0.000502632,0.000502632,0.000502632
56,507.107,0.61871,0.67874,1.21804,0.73782,1,0.9125,0.58198,1.35543,1.11915,1.98034,0.00050105,0.00050105,0.00050105
57,515.271,0.52013,0.49561,1.05363,1,0.96408,0.995,0.61256,1.42492,1.35541,1.97641,0.000499072,0.000499072,0.000499072
58,523.009,0.52622,0.5258,1.03706,1,0.96408,0.995,0.61256,1.42492,1.35541,1.97641,0.000496698,0.000496698,0.000496698
59,531.91,0.86017,0.6989,1.56986,1,0.96408,0.995,0.61256,1.42492,1.35541,1.97641,0.000493928,0.000493928,0.000493928
60,540.982,0.726,0.73475,1.21567,0.97414,1,0.995,0.69718,1.25454,1.45692,2.03182,0.000490762,0.000490762,0.000490762
61,548.706,0.59869,0.52722,1.13654,0.97414,1,0.995,0.69718,1.25454,1.45692,2.03182,0.0004872,0.0004872,0.0004872
62,557.332,0.5946,0.68282,1.14995,0.97414,1,0.995,0.69718,1.25454,1.45692,2.03182,0.000483242,0.000483242,0.000483242
63,565.69,0.54435,0.53071,1.08855,0.9709,1,0.995,0.71334,1.09126,1.56731,1.80582,0.000478888,0.000478888,0.000478888
64,573.555,0.56299,0.53157,1.06269,0.9709,1,0.995,0.71334,1.09126,1.56731,1.80582,0.000474138,0.000474138,0.000474138
65,581.907,0.50372,0.53687,1.11461,0.9709,1,0.995,0.71334,1.09126,1.56731,1.80582,0.000468992,0.000468992,0.000468992
66,590.259,0.52248,0.46876,1.11523,0.97997,1,0.995,0.82959,0.83828,1.07971,1.44138,0.00046345,0.00046345,0.00046345
67,599.017,0.59325,0.51205,1.2419,0.97997,1,0.995,0.82959,0.83828,1.07971,1.44138,0.000457512,0.000457512,0.000457512
68,607.933,0.61752,0.47924,1.15125,0.97997,1,0.995,0.82959,0.83828,1.07971,1.44138,0.000451178,0.000451178,0.000451178
69,616.78,0.60162,0.54213,1.09212,0.73715,1,0.9125,0.73,0.8691,0.84271,1.38576,0.000444448,0.000444448,0.000444448
70,625.45,0.62118,0.59036,1.20985,0.73715,1,0.9125,0.73,0.8691,0.84271,1.38576,0.000437322,0.000437322,0.000437322
71,633.489,0.4752,0.45633,1.01129,0.73715,1,0.9125,0.73,0.8691,0.84271,1.38576,0.0004298,0.0004298,0.0004298
72,642.128,0.5627,0.46105,1.13601,1,0.98905,0.995,0.86259,0.73175,0.73628,1.20588,0.000421882,0.000421882,0.000421882
73,650.973,0.73805,0.52502,1.22895,1,0.98905,0.995,0.86259,0.73175,0.73628,1.20588,0.000413568,0.000413568,0.000413568
74,659.715,0.54178,0.51262,1.01912,1,0.98905,0.995,0.86259,0.73175,0.73628,1.20588,0.000404858,0.000404858,0.000404858
75,669.885,0.50001,0.46944,1.04628,0.99174,1,0.995,0.8955,0.57059,0.63996,1.09193,0.000395752,0.000395752,0.000395752
76,679.46,0.61998,0.53158,1.13172,0.99174,1,0.995,0.8955,0.57059,0.63996,1.09193,0.00038625,0.00038625,0.00038625
77,688.446,0.44604,0.48274,1.0041,0.99174,1,0.995,0.8955,0.57059,0.63996,1.09193,0.000376352,0.000376352,0.000376352
78,697.56,0.52407,0.46065,1.0734,0.9953,1,0.995,0.88304,0.35196,0.56584,0.90079,0.000366058,0.000366058,0.000366058
79,706.15,0.73337,0.62772,1.22499,0.9953,1,0.995,0.88304,0.35196,0.56584,0.90079,0.000355368,0.000355368,0.000355368
80,714.509,0.49594,0.52282,0.99993,0.9953,1,0.995,0.88304,0.35196,0.56584,0.90079,0.000344282,0.000344282,0.000344282
81,723.018,0.3773,0.38714,1.03464,0.99125,1,0.995,0.90674,0.49921,0.5925,0.97259,0.0003328,0.0003328,0.0003328
82,731.51,0.42289,0.3914,1.05393,0.99125,1,0.995,0.90674,0.49921,0.5925,0.97259,0.000320922,0.000320922,0.000320922
83,740.096,0.58072,0.55725,1.18064,0.99125,1,0.995,0.90674,0.49921,0.5925,0.97259,0.000308648,0.000308648,0.000308648
84,748.855,0.40981,0.38549,0.97233,0.98643,1,0.995,0.8955,0.68109,0.58432,1.18601,0.000295978,0.000295978,0.000295978
85,756.555,0.46962,0.47495,1.05278,0.98643,1,0.995,0.8955,0.68109,0.58432,1.18601,0.000282912,0.000282912,0.000282912
86,765.549,0.47627,0.47212,1.02225,0.98643,1,0.995,0.8955,0.68109,0.58432,1.18601,0.00026945,0.00026945,0.00026945
87,774.393,0.49006,0.43663,1.02707,0.98643,1,0.995,0.8955,0.68109,0.58432,1.18601,0.000255592,0.000255592,0.000255592
88,783.564,0.46489,0.38211,1.12372,0.98691,1,0.995,0.8955,0.73213,0.5837,1.29551,0.000241338,0.000241338,0.000241338
89,791.755,0.50021,0.39513,0.98948,0.98691,1,0.995,0.8955,0.73213,0.5837,1.29551,0.000226688,0.000226688,0.000226688
